,ID,Name,Gene Name,Species,Drug IDs
586,2147,Somatostatin receptor type 5,SSTR5,Humans,DB09099; DB13985; DB15494
587,2151,Aromatic-L-amino-acid decarboxylase,DDC,Humans,DB00190; DB00968; DB12783
588,2180,Cholinesterase,BCHE,Humans,DB00382; DB00449; DB00545; DB00677; DB00733; DB00772; DB00941; DB00989; DB01010; DB01057; DB01221
589,2193,Thymidine phosphorylase,TYMP,Humans,DB09343
590,2196,Amine oxidase [flavin-containing] B,MAOB,Humans,DB00191; DB00752; DB00780; DB01037; DB01247; DB01367; DB01577; DB01626; DB06654
591,2198,Amine oxidase [flavin-containing] A,MAOA,Humans,DB00191; DB00752; DB00780; DB00805; DB01171; DB01247; DB01577
592,2204,Xanthine dehydrogenase/oxidase,XDH,Humans,DB00437; DB04854
593,2211,Egl nine homolog 2,EGLN2,Humans,DB04847
594,2212,Cyclin-dependent kinase 6,CDK6,Humans,DB09073; DB11730; DB12001; DB15442
595,2214,Adenosine deaminase,ADA,Humans,DB00552; DB00975
596,2216,Cyclin-dependent kinase 4,CDK4,Humans,DB09073; DB11730; DB12001; DB15442
597,2217,Egl nine homolog 1,EGLN1,Humans,DB04847
598,2219,Egl nine homolog 3,EGLN3,Humans,DB04847
599,2226,Voltage-dependent N-type calcium channel subunit alpha-1B,CACNA1B,Humans,DB01202; DB06283
600,2246,Fatty acid desaturase 2,FADS2,Humans,DB00132
601,2247,Elongation of very long chain fatty acids protein 4,ELOVL4,Humans,DB09568
602,2252,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",SDHD,Humans,DB00756
603,2329,Vitamin K epoxide reductase complex subunit 1-like protein 1,VKORC1L1,Humans,DB00170
604,2340,Gamma-aminobutyric acid type B receptor subunit 2,GABBR2,Humans,DB00181
605,2341,Neuronal acetylcholine receptor subunit alpha-7,CHRNA7,Humans,DB00184; DB00333; DB00674
606,2344,Gamma-aminobutyric acid receptor subunit beta-1,GABRB1,Humans,DB00431; DB01440
607,2345,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,Humans,DB00592; DB00818; DB06716
608,2346,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,Humans,DB00818; DB06716
609,2347,Proteasome subunit beta type-1,PSMB1,Humans,DB00188; DB08889
610,2348,Proteasome subunit beta type-5,PSMB5,Humans,DB00188; DB08889
611,2349,Proteasome subunit beta type-2,PSMB2,Humans,DB08889
612,2353,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C",PDE4C,Humans,DB00651
613,2354,Voltage-dependent L-type calcium channel subunit beta-2,CACNB2,Humans,DB00270; DB00393; DB00401; DB00622; DB01023; DB01054; DB01115; DB04855; DB06712
614,2355,Voltage-dependent L-type calcium channel subunit alpha-1S,CACNA1S,Humans,DB00270; DB00393; DB00401; DB00568; DB01023; DB01054; DB04855; DB09090
615,2356,Voltage-dependent L-type calcium channel subunit beta-4,CACNB4,Humans,DB00393; DB04855
616,2357,Voltage-dependent L-type calcium channel subunit alpha-1F,CACNA1F,Humans,DB00393; DB00568; DB04855
617,2358,Voltage-dependent L-type calcium channel subunit beta-3,CACNB3,Humans,DB00393; DB04855
618,2359,Voltage-dependent L-type calcium channel subunit alpha-1D,CACNA1D,Humans,DB00270; DB00393; DB00401; DB00568; DB00622; DB01023; DB01054; DB01115; DB04855
621,2365,Histone deacetylase 1,HDAC1,Humans,DB02546; DB06176
622,2366,Histone deacetylase 2,HDAC2,Humans,DB00277; DB01223; DB01303; DB02546; DB06176; DB09091
623,2367,Histone deacetylase 3,HDAC3,Humans,DB02546
624,2368,Histone deacetylase 6,HDAC6,Humans,DB02546
625,2370,Calcitonin gene-related peptide 2,CALCB,Humans,DB14040; DB14041; DB14042
626,2372,Protein farnesyltransferase subunit beta,FNTB,Humans,DB06448
627,2373,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,FNTA,Humans,DB06448
628,2375,Prostaglandin E2 receptor EP3 subtype,PTGER3,Humans,DB00905; DB00917; DB00929; DB08964; DB11113
629,2379,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,Humans,DB12015; DB12483
630,2386,Serine/threonine-protein kinase mTOR,MTOR,Humans,DB00337; DB00877; DB01590; DB06287
632,2389,Rhesus blood group D antigen,RHD,Humans,DB11597
636,2396,Voltage-dependent calcium channel subunit alpha-2/delta-2,CACNA2D2,Humans,DB00270; DB01244
638,2406,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",PIK3CD,Humans,DB09054; DB11952; DB12483; DB14989
639,2408,Tyrosine-protein kinase JAK2,JAK2,Humans,DB08877; DB08895; DB11697; DB11817; DB12500
640,2411,Proto-oncogene tyrosine-protein kinase receptor Ret,RET,Humans,DB00398; DB08875; DB08896; DB09078; DB15685; DB15822
641,2420,Interleukin-4 receptor subunit alpha,IL4R,Humans,DB12159
642,2425,DNA topoisomerase 2-beta,TOP2B,Humans,DB00694; DB00997
643,2432,Sphingosine 1-phosphate receptor 5,S1PR5,Humans,DB08868; DB12612
644,2438,Interleukin-13,IL13,Humans,DB12159; DB12169
645,2440,Plasma kallikrein,KLKB1,Humans,DB05311; DB06404; DB09228; DB14597; DB15982
646,2441,ATP-sensitive inward rectifier potassium channel 8,KCNJ8,Humans,DB00922; DB01154; DB01251
647,2442,Toll-like receptor 4,TLR4,Humans,DB13615
648,2443,Cytidine deaminase,CDA,Humans,DB15694
649,2446,Epithelial cell adhesion molecule,EPCAM,Humans,DB09336
650,2447,Melanocyte-stimulating hormone receptor,MC1R,Humans,DB04931
651,2450,Ribonucleoside-diphosphate reductase subunit M2,RRM2,Humans,DB00242; DB05260
653,2638,Cytochrome P450 3A4,CYP3A4,Humans,DB09065
654,2639,Pancreatic alpha-amylase,AMY2A,Humans,DB00284
656,2804,Deoxycytidine kinase,DCK,Humans,DB01073
661,2859,Interleukin-6 receptor subunit alpha,IL6R,Humans,DB06273; DB11767; DB15762
662,3148,Placenta growth factor,PGF,Humans,DB08885
663,3201,Annexin A3,ANXA3,Humans,DB00591; DB09095
665,3376,Leptin receptor,LEPR,Humans,DB09046
666,3379,Angiopoietin-1 receptor,TEK,Humans,DB08896; DB14840
667,3390,Mitogen-activated protein kinase 11,MAPK11,Humans,DB08896
668,3392,Amyloid beta A4 protein,APP,Humans,DB09148; DB09149; DB09151
670,3399,Free fatty acid receptor 4,FFAR4,Humans,DB13961
671,3405,Folate receptor alpha,FOLR1,Humans,DB12489; DB15413
672,3407,Carboxypeptidase B2,CPB2,Humans,DB11311
673,3414,Integrin beta-7,ITGB7,Humans,DB09033
674,3415,Interleukin-23 subunit alpha,IL23A,Humans,DB11834
675,3416,Transient receptor potential cation channel subfamily V member 3,TRPV3,Humans,DB00825; DB01744
676,3430,Mitogen-activated protein kinase kinase kinase 1,MAP3K1,Humans,DB11967
677,3436,Programmed cell death protein 1,PDCD1,Humans,DB09035; DB09037; DB11595; DB11945; DB14707; DB15627
678,3438,Alpha-7 nicotinic cholinergic receptor subunit,CHRNA7,Humans,DB01221
679,3440,Thrombopoietin receptor,MPL,Humans,DB05332; DB11995; DB13125
680,3441,Programmed cell death 1 ligand 1,CD274,Humans,DB11595; DB11714; DB11945
681,3455,Complement C3,C3,Humans,DB00028; DB16694
682,3456,T-cell surface glycoprotein CD3 delta chain,CD3D,Humans,DB00075; DB09052
683,3457,T-cell surface glycoprotein CD3 gamma chain,CD3G,Humans,DB00075
684,3458,T-cell surface glycoprotein CD3 zeta chain,CD247,Humans,DB00075
685,3471,Interleukin-5 receptor subunit alpha,IL5RA,Humans,DB12023
686,3474,Microtubule-associated protein tau,MAPT,Humans,DB01229; DB01248; DB14914
687,3475,Microtubule-associated protein 4,MAP4,Humans,DB01229; DB01248
688,3476,Pro-neuropeptide Y,NPY,Humans,DB00191
689,3479,Tumor necrosis factor receptor superfamily member 8,TNFRSF8,Humans,DB08870
691,3488,T-cell surface glycoprotein CD4,CD4,Humans,DB00098
692,3492,SLAM family member 7,SLAMF7,Humans,DB06317
693,3493,Tyrosine-protein kinase JAK3,JAK3,Humans,DB08877; DB08895; DB11817
694,3496,B-lymphocyte antigen CD19,CD19,Humans,DB09052; DB12530; DB13881; DB13915; DB15699
695,3502,Heat-stable enterotoxin receptor,GUCY2C,Humans,DB08890
696,3508,Parathyroid hormone/parathyroid hormone-related peptide receptor,PTH1R,Humans,DB05084
697,3512,Casein kinase I isoform epsilon,CSNK1E,Humans,DB14989
698,3513,B2 bradykinin receptor,BDKRB2,Humans,DB06196
699,3517,Tumor necrosis factor ligand superfamily member 11,TNFSF11,Humans,DB00480; DB06643
700,3520,Interleukin-4,IL4,Humans,DB12159
701,3522,Prostaglandin E2 receptor EP4 subtype,PTGER4,Humans,DB00917
703,3528,Somatostatin receptor type 2,SSTR2,Humans,DB09099; DB13925; DB13985; DB15494; DB15873
704,3529,Somatostatin receptor type 3,SSTR3,Humans,DB09099; DB13985; DB15494
705,3537,"Cholesterol side-chain cleavage enzyme, mitochondrial",CYP11A1,Humans,DB00357; DB05667
706,3542,"Cytochrome P450 11B2, mitochondrial",CYP11B2,Humans,DB05667
707,3570,Geranylgeranyl pyrophosphate synthase,GGPS1,Humans,DB00399; DB00710
708,3573,Major histocompatibility complex class I-related gene protein,MR1,Humans,DB00098
709,3575,Integrin beta-1,ITGB1,Humans,DB00098
710,3576,Integrin alpha-V,ITGAV,Humans,DB00098; DB00451
712,3578,Guanylate cyclase soluble subunit alpha-2,GUCY1A2,Humans,DB00435; DB01020; DB08931; DB09241; DB13170
714,3580,Nischarin,NISCH,Humans,DB09242
715,3582,Potassium channel subfamily K member 3,KCNK3,Humans,DB00561; DB01159
716,3583,Potassium channel subfamily K member 9,KCNK9,Humans,DB00561; DB01159
717,3584,Neuronal acetylcholine receptor subunit beta-4,CHRNB4,Humans,DB01090
718,3585,Neuronal acetylcholine receptor subunit alpha-3,CHRNA3,Humans,DB00848; DB01090
719,3592,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,Humans,DB01205
720,3603,Potassium voltage-gated channel subfamily D member 2,KCND2,Humans,DB06637
721,3604,Potassium voltage-gated channel subfamily D member 3,KCND3,Humans,DB04855; DB06217; DB06637
722,3605,BDNF/NT-3 growth factors receptor,NTRK2,Humans,DB14723
723,3610,3-oxo-5-beta-steroid 4-dehydrogenase,AKR1D1,Humans,DB00548
724,3613,Ribonucleoside-diphosphate reductase subunit M2 B,RRM2B,Humans,DB00242
725,3614,DNA polymerase epsilon catalytic subunit A,POLE,Humans,DB00242
726,3615,DNA polymerase epsilon subunit 2,POLE2,Humans,DB00242
727,3616,DNA polymerase epsilon subunit 4,POLE4,Humans,DB00242
728,3617,DNA polymerase epsilon subunit 3,POLE3,Humans,DB00242
730,3620,Gastric triacylglycerol lipase,LIPF,Humans,DB01083
734,3625,Carbonic anhydrase 3,CA3,Humans,DB00819
735,3629,Carbonic anhydrase 7,CA7,Humans,DB00703; DB00819; DB01144
736,3634,Carbonic anhydrase 14,CA14,Humans,DB00819
737,3635,Sodium channel subunit beta-1,SCN1B,Humans,DB00909
738,3636,Sodium channel subunit beta-2,SCN2B,Humans,DB00909
739,3637,Sodium channel subunit beta-3,SCN3B,Humans,DB00909
740,3638,Sodium channel subunit beta-4,SCN4B,Humans,DB00909
741,3643,Ileal sodium/bile acid cotransporter,SLC10A2,Humans,DB16226; DB16261
742,3644,Sodium/bile acid cotransporter,SLC10A1,Humans,DB15248
743,3645,Solute carrier family 22 member 8,SLC22A8,Humans,DB01032
755,3711,Tubulin delta chain,TUBD1,Humans,DB00570
756,3712,Tubulin epsilon chain,TUBE1,Humans,DB00570
757,3713,Tubulin gamma-1 chain,TUBG1,Humans,DB00570
758,3721,Aryl hydrocarbon receptor,AHR,Humans,DB06083
764,3766,Hydroxyacid oxidase 1,HAO1,Humans,DB15935
765,3798,Poly [ADP-ribose] polymerase 2,PARP2,Humans,DB09074; DB11760; DB11793; DB12332
766,3813,"V-type proton ATPase subunit B, brain isoform",ATP6V1B2,Humans,DB05260
767,3833,60S ribosomal protein L3,RPL3,Humans,DB04865
768,3862,"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",PDK1,Humans,DB08809
769,3887,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",ETFDH,Humans,DB00331
771,3997,Phospholipase A2,PLA2G1B,Humans,DB00795
773,4049,Poly [ADP-ribose] polymerase 3,PARP3,Humans,DB09074; DB12332
774,4071,GTPase KRas,KRAS,Humans,DB15568; DB15569
777,4145,Tyrosine-protein kinase JAK1,JAK1,Humans,DB08877; DB08895; DB11817; DB14845; DB14973; DB15091
778,4146,Non-receptor tyrosine-protein kinase TYK2,TYK2,Humans,DB08877; DB16650
779,4149,Annexin A5,ANXA5,Humans,DB00591
781,4191,Rho-associated protein kinase 2,ROCK2,Humans,DB13931; DB16703
783,4281,Elongation factor 2,EEF2,Humans,DB12688
785,4294,Myosin-7,MYH7,Humans,DB14921
791,4467,Myoglobin,MB,Humans,DB11588
792,4494,Cation-dependent mannose-6-phosphate receptor,M6PR,Humans,DB01272
794,4500,"Enoyl-CoA hydratase, mitochondrial",ECHS1,Humans,DB09568
795,4502,Potassium voltage-gated channel subfamily A member 4,KCNA4,Humans,DB06637
796,4525,V-type proton ATPase subunit C 1,ATP6V1C1,Humans,DB09552
797,4527,"Isocitrate dehydrogenase [NADP], mitochondrial",IDH2,Humans,DB13874
798,4624,Transient receptor potential cation channel subfamily M member 7,TRPM7,Humans,DB00179
799,4639,"Thymidine kinase 2, mitochondrial",TK2,Humans,DB03312
809,4659,Smoothened homolog,SMO,Humans,DB08828; DB11978
810,4660,"Keratin, type I cytoskeletal 12",KRT12,Humans,DB11157
814,4671,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",CPS1,Humans,DB06775
815,4672,Coagulation factor XII,F12,Humans,DB06404; DB09228
816,4674,Chromaffin granule amine transporter,SLC18A1,Humans,DB01577
817,4684,High affinity immunoglobulin gamma Fc receptor IB,FCGR1BP,Humans,DB00028
818,4685,Complement C4-A,C4A,Humans,DB00028
819,4686,Complement C4-B,C4B,Humans,DB00028
820,4698,Neutral alpha-glucosidase AB,GANAB,Humans,DB00491
821,4699,Neutral alpha-glucosidase C,GANC,Humans,DB00491
823,4702,Hyaluronan mediated motility receptor,HMMR,Humans,DB08818
824,4703,Parathyroid hormone 2 receptor,PTH2R,Humans,DB05829
825,4715,Potassium voltage-gated channel subfamily A member 2,KCNA2,Humans,DB06637
826,4716,Potassium voltage-gated channel subfamily A member 3,KCNA3,Humans,DB06637
827,4717,Potassium voltage-gated channel subfamily A member 5,KCNA5,Humans,DB06217; DB06637
828,4718,Potassium voltage-gated channel subfamily A member 6,KCNA6,Humans,DB06637
829,4719,Potassium voltage-gated channel subfamily A member 7,KCNA7,Humans,DB06637
830,4720,Potassium voltage-gated channel subfamily A member 10,KCNA10,Humans,DB06637
831,4721,Potassium voltage-gated channel subfamily B member 1,KCNB1,Humans,DB06637
832,4722,Potassium voltage-gated channel subfamily B member 2,KCNB2,Humans,DB06637
833,4723,Potassium voltage-gated channel subfamily C member 1,KCNC1,Humans,DB06637
834,4724,Potassium voltage-gated channel subfamily C member 2,KCNC2,Humans,DB06637
835,4725,Potassium voltage-gated channel subfamily C member 3,KCNC3,Humans,DB06637
836,4726,Potassium voltage-gated channel subfamily D member 1,KCND1,Humans,DB06637
838,4736,Vascular endothelial growth factor B,VEGFB,Humans,DB08885
839,4737,Proteasome subunit beta type-9,PSMB9,Humans,DB08889
840,4738,Proteasome subunit beta type-10,PSMB10,Humans,DB08889
841,4739,Proteasome subunit beta type-8,PSMB8,Humans,DB08889
842,4741,Discoidin domain-containing receptor 2,DDR2,Humans,DB08896
843,4742,Tyrosine-protein kinase FRK,FRK,Humans,DB08896
844,4743,Breakpoint cluster region protein,BCR,Humans,DB00619; DB06616; DB08901
845,4744,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,Humans,DB08911; DB11689; DB11967
846,4746,Anoctamin-1,ANO1,Humans,DB04941
850,4753,Sodium/glucose cotransporter 2,SLC5A2,Humans,DB06292; DB08907; DB09038; DB11827; DB12713
851,4754,Sodium/glucose cotransporter 1,SLC5A1,Humans,DB12713
852,4755,Protein cereblon,CRBN,Humans,DB00480; DB01041; DB08910
853,4756,Kelch-like ECH-associated protein 1,KEAP1,Humans,DB08908
854,4769,Y+L amino acid transporter 1,SLC7A7,Humans,DB13146
855,4772,Receptor tyrosine-protein kinase erbB-4,ERBB4,Humans,DB08916
856,4782,Solute carrier family 22 member 12,SLC22A12,Humans,DB01138; DB11560
858,795,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
859,381,Gamma-aminobutyric acid receptor subunit alpha-2,GABRA2,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
860,523,Gamma-aminobutyric acid receptor subunit alpha-3,GABRA3,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
861,478,Gamma-aminobutyric acid receptor subunit alpha-4,GABRA4,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
862,471,Gamma-aminobutyric acid receptor subunit alpha-5,GABRA5,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
863,764,Gamma-aminobutyric acid receptor subunit alpha-6,GABRA6,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
864,2344,Gamma-aminobutyric acid receptor subunit beta-1,GABRB1,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
865,2346,Gamma-aminobutyric acid receptor subunit beta-2,GABRB2,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
866,2345,Gamma-aminobutyric acid receptor subunit beta-3,GABRB3,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
867,3599,Gamma-aminobutyric acid receptor subunit delta,GABRD,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
868,3595,Gamma-aminobutyric acid receptor subunit epsilon,GABRE,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
869,3593,Gamma-aminobutyric acid receptor subunit gamma-1,GABRG1,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
870,3592,Gamma-aminobutyric acid receptor subunit gamma-2,GABRG2,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
871,3594,Gamma-aminobutyric acid receptor subunit gamma-3,GABRG3,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
872,3596,Gamma-aminobutyric acid receptor subunit pi,GABRP,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
873,3597,Gamma-aminobutyric acid receptor subunit theta,GABRQ,Humans,DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01956; DB05087; DB09118; DB11859; DB12404; DB13872
881,4794,"Solute carrier family 52, riboflavin transporter, member 2",SLC52A2,Humans,DB01440
882,4796,Transferrin receptor protein 1,TFRC,Humans,DB13257
883,4797,Transferrin receptor protein 2,TFR2,Humans,DB13257
884,365,"Glutamate receptor ionotropic, NMDA 1",GRIN1,Humans,DB00659; DB01043
885,760,"Glutamate receptor ionotropic, NMDA 2A",GRIN2A,Humans,DB00659; DB01043
886,417,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,Humans,DB00659; DB01043
887,454,"Glutamate receptor ionotropic, NMDA 2C",GRIN2C,Humans,DB00659; DB01043
888,396,"Glutamate receptor ionotropic, NMDA 2D",GRIN2D,Humans,DB00659; DB01043
889,641,"Glutamate receptor ionotropic, NMDA 3A",GRIN3A,Humans,DB00659; DB01043
890,534,"Glutamate receptor ionotropic, NMDA 3B",GRIN3B,Humans,DB00659; DB01043
893,291,5-hydroxytryptamine receptor 1A,HTR1A,Humans,DB01049; DB01239; DB11273; DB13345
894,797,5-hydroxytryptamine receptor 1B,HTR1B,Humans,DB01049; DB01239; DB11273; DB13345
895,659,5-hydroxytryptamine receptor 1D,HTR1D,Humans,DB01049; DB01239; DB11273; DB13345
896,476,5-hydroxytryptamine receptor 1E,HTR1E,Humans,DB01049; DB01239; DB11273; DB13345
897,460,5-hydroxytryptamine receptor 1F,HTR1F,Humans,DB01049; DB01239; DB11273; DB13345
898,451,5-hydroxytryptamine receptor 2A,HTR2A,Humans,DB01049; DB01239; DB11273; DB13345
899,393,5-hydroxytryptamine receptor 2B,HTR2B,Humans,DB01049; DB01239; DB11273; DB13345
900,533,5-hydroxytryptamine receptor 2C,HTR2C,Humans,DB01049; DB01239; DB11273; DB13345
901,311,5-hydroxytryptamine receptor 3A,HTR3A,Humans,DB01049; DB01239; DB11273; DB13345
902,4817,5-hydroxytryptamine receptor 3B,HTR3B,Humans,DB01049; DB01239; DB11273; DB13345
903,4818,5-hydroxytryptamine receptor 3C,HTR3C,Humans,DB01049; DB01239; DB11273; DB13345
904,4819,5-hydroxytryptamine receptor 3D,HTR3D,Humans,DB01049; DB01239; DB11273; DB13345
905,4820,5-hydroxytryptamine receptor 3E,HTR3E,Humans,DB01049; DB01239; DB11273; DB13345
906,84,5-hydroxytryptamine receptor 4,HTR4,Humans,DB01049; DB01239; DB11273; DB13345
907,945,5-hydroxytryptamine receptor 6,HTR6,Humans,DB01049; DB01239; DB11273; DB13345
908,650,5-hydroxytryptamine receptor 7,HTR7,Humans,DB01049; DB01239; DB11273; DB13345
